Arbol,Altura,DAP,LtNG,LtNM,LtNS,LngOG,LngOM,LngOS,Especie,Acronimo,Crecimiento,Rep,Trep,Orientaci_n,Cobertura
1,20,29,19,29,10.4,97,2,19,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,4
1,20,29,19,29,10.4,97,2,19,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,18
1,20,29,19,29,10.4,97,2,19,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,6
1,20,29,19,29,10.4,97,2,19,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sur,8
1,20,29,19,29,10.4,97,2,19,Ocellularia landronii,OcLa,Cos,Sex,Apot,Sur,44
1,20,29,19,29,10.4,97,2,19,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Sur,8
1,20,29,19,29,10.4,97,2,19,Porina distans,PorDi,Cos,Asex,Isid,Norte,28
2,15,21,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Sur,28
2,15,21,19,29,10.4,97,2,19,Phyllopsora cf. swinscowii,PhSwi,Cos,Asex,Isid,Sur,24
2,15,21,19,29,10.4,97,2,19,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Sur,10
5,25,70,19,29,10.4,97,2,19,Herpothallon sp.,HeSp,Cos,Asex,Isid,Oeste,48
5,25,70,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Oeste,116
7,24,48,19,29,10.4,97,2,19,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noroeste,16
7,24,48,19,29,10.4,97,2,19,Sprucidea gymnopiperis,SpGym,Cos,Asex,Isid,Noroeste,52
7,24,48,19,29,10.4,97,2,19,Thelotrema lepadium,ThLep,Cos,Sex,Apot,Noroeste,24
8,17,31,19,29,10.4,97,2,19,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,2
8,17,31,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Norte,200
8,17,31,19,29,10.4,97,2,19,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Sur,262
9,23,53,19,29,10.5,97,2,18.9,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Sureste,5
9,23,53,19,29,10.5,97,2,18.9,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Sureste,8
9,23,53,19,29,10.5,97,2,18.9,Parmotrema sp. ,PaSp,Fol,NaN,NaN,Sureste,4
9,23,53,19,29,10.5,97,2,18.9,Punctelia sp.,PuSp,Fol,NaN,NaN,Sureste,16
9,23,53,19,29,10.5,97,2,18.9,Usnea cf. brasiliensis,UsBra,Frut,Asex,Sor,Sureste,4
11,11.8,29,19,29,10.5,97,2,18.9,Herpothallon philippinum,HePhi,Cos,Asex,Isid,Noreste,2.5
13,16.6,76,19,29,10.5,97,2,18.9,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,20
13,16.6,76,19,29,10.5,97,2,18.9,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,4
13,16.6,76,19,29,10.5,97,2,18.9,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Norte,8
13,16.6,76,19,29,10.5,97,2,18.9,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Sur,30
13,16.6,76,19,29,10.5,97,2,18.9,Usnea cf. filipendula,UsFil,Frut,Asex,Isid,Norte,8
13,16.6,76,19,29,10.5,97,2,18.9,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Norte,58
14,12.5,36,19,29,13.1,97,2,20.7,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Noreste,12
14,12.5,36,19,29,13.1,97,2,20.7,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,Noreste,18
14,12.5,36,19,29,13.1,97,2,20.7,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Suroeste,18
14,12.5,36,19,29,13.1,97,2,20.7,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Suroeste,8
14,12.5,36,19,29,13.1,97,2,20.7,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Suroeste,94
14,12.5,36,19,29,13.1,97,2,20.7,Usnea cf. filipendula,UsFil,Frut,Asex,Isid,Noreste,4
14,12.5,36,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noreste,56
14,12.5,36,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Suroeste,108
15,14,35,19,29,13.1,97,2,20.7,Hypotrachyna cf. dentella,HyDe,Fol,Asex,Isid,Noroeste,22
15,14,35,19,29,13.1,97,2,20.7,Hypotrachyna sp. isidiada,HySpI,Fol,Asex,Isid,Noroeste,20
15,14,35,19,29,13.1,97,2,20.7,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Noroeste,16
15,14,35,19,29,13.1,97,2,20.7,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Sureste,92
15,14,35,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noroeste,116
16,15,45,19,29,13.1,97,2,20.7,Cresponea chloroconia,CrChl,Cos,Sex,Apot,Suroeste,114
16,15,45,19,29,13.1,97,2,20.7,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,Noreste,22
16,15,45,19,29,13.1,97,2,20.7,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noreste,4
16,15,45,19,29,13.1,97,2,20.7,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Suroeste,16
16,15,45,19,29,13.1,97,2,20.7,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Suroeste,32
16,15,45,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noreste,200
16,15,45,19,29,13.1,97,2,20.7,Usnea cf. rubicunda,UsRub,Frut,Asex,Sor,Noreste,52
16,15,45,19,29,13.1,97,2,20.7,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Noreste,284
17,16,49,19,29,13.1,97,2,20.7,Graphis mexicana,GrMex,Cos,Sex,Lirel,Suroeste,68
17,16,49,19,29,13.1,97,2,20.7,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Noreste,12
17,16,49,19,29,13.1,97,2,20.7,Hypotrachyna cf. neocrenata,HyNeo,Fol,Asex,Isid,Suroeste,38.68
17,16,49,19,29,13.1,97,2,20.7,Hypotrachyna sp. isidiada,HyIsi,Fol,Asex,Isid,Suroeste,77.36
17,16,49,19,29,13.1,97,2,20.7,Parmeliella sp.,ParSp,Fol,NaN,NaN,Suroeste,4
17,16,49,19,29,13.1,97,2,20.7,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,Suroeste,124
17,16,49,19,29,13.1,97,2,20.7,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Noreste,28
17,16,49,19,29,13.1,97,2,20.7,Usnea cf. subfloridana,UsSub,Fol,Asex,Sor,Noreste,108
19,11,44,19,29,13.1,97,2,20.7,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Suroeste,4.8
20,15,28,19,29,14.8,97,2,22.4,Graphis rimulosa,GrRim,Cos,Sex,Lirel,Sureste,10
20,15,28,19,29,14.8,97,2,22.4,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sureste,4
20,15,28,19,29,14.8,97,2,22.4,Hypotrachyna sp. isidiada,HySpI,Fol,Asex,Isid,Noroeste,26
20,15,28,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noroeste,148
20,15,28,19,29,14.8,97,2,22.4,Pertusaria cf. tetrathalamia,PeTet,Cos,Sex,Apot,Sureste,10
20,15,28,19,29,14.8,97,2,22.4,Thelotrema lepadium,ThLep,Cos,Sex,Apot,Noroeste,8
20,15,28,19,29,14.8,97,2,22.4,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Sureste,20
20,15,28,19,29,14.8,97,2,22.4,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Noroeste,12
20,15,28,19,29,14.8,97,2,22.4,Usnea sp.,UsSp,Frut,NaN,NaN,Noroeste,4
23,15,6,19,29,14.8,97,2,22.4,Hypotrachyna sp. isidiada,HySpI,Fol,Asex,Isid,Noroeste,28
23,15,6,19,29,14.8,97,2,22.4,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Noroeste,44
23,15,6,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noroeste,8
23,15,6,19,29,14.8,97,2,22.4,Punctelia hypoleucites,PuHyp,Fol,Sex,Apot,Noroeste,60
23,15,6,19,29,14.8,97,2,22.4,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noroeste,68
26,10,18,19,29,14.8,97,2,22.4,Hypotrachyna cf. pulvinata,HyPul,Fol,Sex,Apot,Noreste,22
27,15,18,19,29,14.8,97,2,22.4,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,2.8
27,15,18,19,29,14.8,97,2,22.4,Hypotrachyna cf. pulvinata,HyPul,Fol,Sex,Apot,Norte,4
27,15,18,19,29,14.8,97,2,22.4,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Norte,12
27,15,18,19,29,14.8,97,2,22.4,Megalospora sulphurata,MeSul,Cos,Sex,Apot,Sur,24
27,15,18,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Norte,44
27,15,18,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Norte,4
27,15,18,19,29,14.8,97,2,22.4,Remototrachyna aff. costaricensis,ReCst,Fol,Asex,Isid,Norte,54
28,15,17,19,29,14.8,97,2,22.4,Brigantiaea leucoxantha,BrLeu,Cos,Sex,Apot,Norte,20
28,15,17,19,29,14.8,97,2,22.4,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,10
28,15,17,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,8
28,15,17,19,29,14.8,97,2,22.4,Leptogium milligranum,LeMil,Fol,Asex,Isid,Norte,12
28,15,17,19,29,14.8,97,2,22.4,Leucodermia cf. appalachensis,LeApp,Fol,Asex,Sor,Norte,5.2
28,15,17,19,29,14.8,97,2,22.4,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,Sur,52
28,15,17,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Sur,14
28,15,17,19,29,14.8,97,2,22.4,Usnea cf. brasiliensis,UsBra,Frut,Asex,Sor,Sur,20
32,24,44,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,96
32,24,44,19,29,14.8,97,2,22.4,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,Sur,14
33,20,25,19,29,14.8,97,2,22.4,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Noroeste,10
33,20,25,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noroeste,2
33,20,25,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sureste,16
33,20,25,19,29,14.8,97,2,22.4,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Noroeste,24
33,20,25,19,29,14.8,97,2,22.4,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Sureste,236
33,20,25,19,29,14.8,97,2,22.4,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Noroeste,28
33,20,25,19,29,14.8,97,2,22.4,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Sureste,20
33,20,25,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Noroeste,10
34,24,25,19,29,14.8,97,2,22.4,Brigantiaea leucoxantha,BrLeu,Cos,Sex,Apot,Noroeste,56
34,24,25,19,29,14.8,97,2,22.4,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Noroeste,6
34,24,25,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sureste,4.8
34,24,25,19,29,14.8,97,2,22.4,Heterodermia c.f. isidiophora,HeIsi,Fol,Asex,Isid,Noroeste,24
34,24,25,19,29,14.8,97,2,22.4,Parmeliella sp.,ParSp,Fol,NaN,NaN,Noroeste,18
34,24,25,19,29,14.8,97,2,22.4,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Noroeste,96
40,13,55,19,29,14.8,97,2,22.4,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Sureste,40
40,13,55,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Sureste,56
40,13,55,19,29,14.8,97,2,22.4,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Sureste,72
41,15,28,19,29,16.4,97,2,24.1,Anzia americana,AnAm,Fol,Asex,sor,Suroeste,8
41,15,28,19,29,16.4,97,2,24.1,Cladonia coniocraea,ClCon,Com,Sex,Apot,Noreste,8
41,15,28,19,29,16.4,97,2,24.1,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Suroeste,8
41,15,28,19,29,16.4,97,2,24.1,Hypotrachyna cf. pseudosinuosa,HyPse,Fol,Asex,Sor,Suroeste,10
41,15,28,19,29,16.4,97,2,24.1,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Noreste,16
41,15,28,19,29,16.4,97,2,24.1,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Suroeste,56
41,15,28,19,29,16.4,97,2,24.1,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Suroeste,12
42,16,16,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noreste,8
42,16,16,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Suroeste,32
42,16,16,19,29,16.4,97,2,24.1,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noreste,4
42,16,16,19,29,16.4,97,2,24.1,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Noreste,144
42,16,16,19,29,16.4,97,2,24.1,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Suroeste,24
43,17,21,19,29,16.4,97,2,24.1,Cladonia coniocraea,ClCon,Com,Sex,Apot,Norte,4
43,17,21,19,29,16.4,97,2,24.1,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,4
43,17,21,19,29,16.4,97,2,24.1,Herpothallon philippinum,HePhi,Cos,Asex,Isid,Sur,20
43,17,21,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,20
43,17,21,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,20
43,17,21,19,29,16.4,97,2,24.1,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Norte,12
43,17,21,19,29,16.4,97,2,24.1,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Sur,16
43,17,21,19,29,16.4,97,2,24.1,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Norte,8
45,15,17,19,29,16.4,97,2,24.1,Cladonia coniocraea,ClCon,Com,Sex,Apot,Norte,16
45,15,17,19,29,16.4,97,2,24.1,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Norte,12
45,15,17,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,4
45,15,17,19,29,16.4,97,2,24.1,Heterodermia cf. isidiophora,HeIsi,Fol,Asex,Isid,Sur,148
45,15,17,19,29,16.4,97,2,24.1,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Sur,8
45,15,17,19,29,16.4,97,2,24.1,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Sur,76
47,20,31,19,29,16.4,97,2,24.1,Brigantiaea leucoxantha,BrLeu,Cos,Sex,Apot,Este,20
